#Selection name: Selection 1
#Area (µm^2): 51504.43
Cell ID,Cluster,Transcripts,Area (µm^2)
dkojmmdh-1,Cluster 3,0,71.22
dkpbjlca-1,Cluster 3,0,76.90
oagamcdc-1,Cluster 8,0,24.15
dkokbadk-1,Cluster 5,0,138.27
dkpaphia-1,Cluster 8,0,21.71
dkpkojak-1,Cluster 5,0,113.44
dkpoehne-1,Cluster 1,0,57.99
dkoohcih-1,Cluster 19,0,41.36
dkopohkk-1,Cluster 5,0,82.78
dkilhffh-1,Cluster 1,0,62.36
dkhoeigm-1,Cluster 5,0,56.16
dkhpnmep-1,Cluster 5,0,61.96
dkiceadm-1,Cluster 3,0,80.40
dkhmkoff-1,Cluster 6,0,80.56
dkikjbdg-1,Cluster 13,0,145.81
dkildpfk-1,Cluster 15,0,22.77
dmdbkpfc-1,Cluster 5,0,80.55
oahannba-1,Cluster 6,0,28.66
dmenhjli-1,Cluster 5,0,153.87
dkojcdnp-1,Cluster 6,0,124.28
dmenlibh-1,Cluster 5,0,65.21
dmeopale-1,Cluster 1,0,64.96
dmdbpjbb-1,Cluster 5,0,119.83
dmdblgjd-1,Cluster 6,0,49.32
dmfbiehh-1,Cluster 5,0,60.24
dmfbjomm-1,Cluster 5,0,148.94
dkojddkj-1,Cluster 1,0,69.17
dmepljeg-1,Cluster 8,0,29.45
dmelejdm-1,Cluster 5,0,139.73
dmekkfef-1,Cluster 5,0,122.89
dmajloaf-1,Cluster 1,0,50.16
dmadibnn-1,Cluster 15,0,17.38
dmeljmcp-1,Cluster 25,0,31.11
dmaiicek-1,Cluster 3,0,52.31
dmeiakkk-1,Cluster 5,0,74.52
dlobhmdn-1,Cluster 5,0,90.52
dmaaibam-1,Cluster 13,0,69.94
dlopbded-1,Cluster 5,0,70.37
dlophbgj-1,Cluster 5,0,62.14
dlommame-1,Cluster 25,0,53.95
dloaelah-1,Cluster 5,0,67.17
dlobbamm-1,Cluster 6,0,50.38
dmacmidm-1,Cluster 5,0,47.88
dmabndfo-1,Cluster 3,0,48.64
dmekkjep-1,Cluster 5,0,113.34
dmaajklh-1,Cluster 12,0,27.46
dmajinlb-1,Cluster 5,0,140.86
dmakehmn-1,Cluster 5,0,82.40
dmajjaah-1,Cluster 1,0,66.55
dkhkbdfj-1,Cluster 8,0,14.41
dmcokehi-1,Cluster 15,0,33.29
dmdlphah-1,Cluster 5,0,135.49
dmdmdogp-1,Cluster 3,0,86.27
dkhnmphd-1,Cluster 3,0,32.61
dmdapbch-1,Cluster 6,0,73.97
